Date;ICLN;ENI.MI;ENEL.MI;XOM;CL=F
2016.04.06;8,010922;8,773847;2,729466;61,843628;37,75
2016.04.07;7,878145;8,599348;2,678243;61,145836;37,259998
2016.04.08;7,975515;8,969288;2,752883;61,769379;39,720001
2016.04.11;8,010922;8,997207;2,764591;61,851044;40,360001
2016.04.12;8,179108;9,046067;2,744102;62,615654;42,169998
2016.04.13;8,303035;9,409026;2,796789;62,971966;41,759998
2016.04.14;8,214515;9,576546;2,808497;63,417366;41,5
2016.04.15;8,170256;9,450908;2,786544;63,075886;40,360001
2016.04.18;8,196811;9,422986;2,837767;63,677174;39,779999
2016.04.19;8,267627;9,541647;2,872891;63,996387;41,080002
2016.04.20;8,28533;9,695205;2,875818;64,434357;42,630001
2016.04.21;8,258775;9,820846;2,853866;64,426941;43,18
2016.04.22;8,241072;9,876685;2,853866;64,976257;43,73
2016.04.25;8,117146;9,827825;2,839231;64,827805;42,639999
2016.04.26;8,170256;9,869705;2,875818;65,050499;44,040001
2016.04.27;8,311886;9,960445;2,915334;65,666634;45,330002
2016.04.28;8,152552;10,051186;2,966557;65,347427;46,029999
2016.04.29;8,1437;9,911585;2,896308;65,622093;45,919998
2016.05.02;8,028625;9,737084;2,894845;66,164001;44,779999
2016.05.03;7,833886;9,436948;2,846548;65,406807;43,650002
2016.05.04;7,80733;9,353186;2,852402;65,280617;43,779999
2016.05.05;7,701108;9,534666;2,880209;65,354851;44,32
2016.05.06;7,789627;9,457886;2,855329;65,703735;44,66
2016.05.09;7,639144;9,339226;2,846548;65,748283;43,439999
2016.05.10;7,736515;9,471846;2,915334;66,802391;44,66
2016.05.11;7,842737;9,374126;2,905089;66,480507;46,23
2016.05.12;7,727662;9,436948;2,931432;67,124283;46,700001
2016.05.13;7,577183;9,471846;2,931432;66,36824;46,209999
2016.05.16;7,683403;9,555605;2,93875;67,049431;47,720001
2016.05.17;7,647996;9,471846;2,890454;67,01947;48,310001
2016.05.18;7,52407;9,499765;2,90948;66,884743;48,189999
2016.05.19;7,435552;9,206607;2,883136;67,453667;48,16
2016.05.20;7,56833;9,353186;2,919724;67,176674;47,75
2016.05.23;7,577183;9,317212;2,893381;67,071884;48,080002
2016.05.24;7,674552;9,605002;2,972411;67,124283;48,619999
2016.05.25;7,701108;9,935962;2,981192;67,565948;49,560001
2016.05.26;7,692255;9,986323;3,004608;67,221588;49,48
2016.05.27;7,6657;9,950351;2,998754;67,378799;49,330002
2016.05.31;7,718811;9,878404;2,981192;66,637711;49,099998
2016.06.01;7,869294;9,741704;2,954849;66,802399;49,009998
2016.06.02;7,904701;9,734509;2,965093;66,270912;49,169998
2016.06.03;7,886997;9,655367;2,940213;66,151138;48,619999
2016.06.06;8,028625;9,907183;2,965093;66,877251;49,689999
2016.06.07;8,072886;10,137414;3,010462;67,902802;50,360001
2016.06.08;8,072886;10,166194;3,019244;67,962662;51,23
2016.06.09;7,984367;10,115831;3,016317;67,872856;50,560001
2016.06.10;7,647996;9,907183;2,913871;67,356339;49,07
2016.06.13;7,426701;9,67695;2,867037;67,812973;48,880001
2016.06.14;7,347033;9,497083;2,817277;67,693184;48,490002
2016.06.15;7,382442;9,619392;2,861183;67,491096;48,009998
2016.06.16;7,462107;9,518664;2,875818;68,284569;46,209999
2016.06.17;7,506366;9,892793;2,941677;67,910286;47,98
2016.06.20;7,736515;10,187778;3,014838;68,209702;49,369999
2016.06.21;7,701344;10,317284;3,022459;68,516617;48,849998
2016.06.22;7,701344;10,158999;2,976733;68,247154;49,130001
2016.06.23;7,881704;10,489959;3,049894;68,718742;50,110001
2016.06.24;7,475895;9,52586;2,743533;66,914688;47,639999
2016.06.27;7,358662;9,518664;2,732864;66,517952;46,330002
2016.06.28;7,692327;9,828039;2,85175;68,052513;47,849998
2016.06.29;7,818578;10,288505;2,972161;69,212784;49,880001
2016.06.30;7,917775;10,44679;3,033128;70,170982;48,330002
2016.07.01;7,917775;10,662631;3,03008;70,245827;48,990002
2016.07.05;7,85465;10,367645;3,014838;69,631989;46,599998
2016.07.06;7,90876;10,173388;2,958443;70,432968;47,43
2016.07.07;7,85465;10,230947;2,938629;69,587097;45,139999
2016.07.08;8,044029;10,432399;2,995023;70,021248;45,41
2016.07.11;8,143226;10,554711;3,016362;70,283241;44,759998
2016.07.12;8,197333;10,655439;3,03008;71,076714;46,799999
2016.07.13;8,089119;10,525931;3,034652;71,02433;44,75
2016.07.14;8,161262;10,72019;3,040749;71,076714;45,68
2016.07.15;8,116172;10,590684;3,042274;71,204002;45,950001
2016.07.18;8,134208;10,47557;3,045321;70,979408;45,240002
2016.07.19;8,098137;10,439594;3,025507;70,717438;44,650002
2016.07.20;8,206352;10,338867;3,03008;70,313217;44,939999
2016.07.21;8,17028;10,28131;3,06666;70,253296;44,75
2016.07.22;8,233406;10,238141;3,069708;70,373093;44,189999
2016.07.25;8,215368;10,094246;3,069708;69,018181;43,130001
2016.07.26;8,323585;10,10144;3,062088;68,516617;42,919998
2016.07.27;8,305549;10,094246;3,06666;68,052513;41,919998
2016.07.28;8,206352;9,835236;3,057515;67,521034;41,139999
2016.07.29;8,206352;9,842428;3,138297;66,585312;41,599998
2016.08.01;8,233406;9,648171;3,123055;64,27224;40,060001
2016.08.02;8,206352;9,446717;3,081902;65,155548;39,509998
2016.08.03;8,251441;9,51147;3,068184;65,492401;40,830002
2016.08.04;8,323585;9,533056;3,080378;65,484932;41,93
2016.08.05;8,296531;9,648171;3,120007;65,544792;41,799999
2016.08.08;8,377693;9,763287;3,104765;66,315826;43,02
2016.08.09;8,377693;9,748898;3,095619;66,39817;42,77
2016.08.10;8,215368;9,720119;3,089522;65,235535;41,709999
2016.08.11;8,260459;9,856817;3,1322;65,469574;43,490002
2016.08.12;8,215368;9,856817;3,127627;66,32267;44,490002
2016.08.15;8,350638;9,856817;3,127627;66,29248;45,740002
2016.08.16;8,314568;9,885598;3,054467;66,375511;46,580002
2016.08.17;8,305549;9,763287;2,998072;66,518967;46,790001
2016.08.18;8,467873;9,885598;3,00112;67,122917;48,220001
2016.08.19;8,449836;9,691339;2,96454;66,284927;48,52
2016.08.22;8,38671;9,669755;2,970636;66,428368;47,049999
2016.08.23;8,38671;9,799262;3,002645;66,224518;48,099998
2016.08.24;8,368674;9,720119;3,004169;66,451027;46,77
2016.08.25;8,359657;9,605002;3,011789;66,028252;47,330002
2016.08.26;8,323585;9,792066;3,031604;65,884796;47,639999
2016.08.29;8,350638;9,691339;2,984354;66,315125;46,98
2016.08.30;8,368674;9,856817;3,014838;66,073532;46,349998
2016.08.31;8,287515;9,741704;3,016362;65,786644;44,700001
2016.09.01;8,314568;9,669755;3,007217;65,560158;43,16
2016.09.02;8,422783;9,871209;3,075805;65,998062;44,439999
2016.09.06;8,639214;9,885598;3,063612;66,866241;44,830002
2016.09.07;8,612161;9,986323;3,147442;66,617119;45,5
2016.09.08;8,693322;10,094246;3,129152;67,228607;47,619999
2016.09.09;8,449836;9,907183;3,086475;65,560158;45,880001
2016.09.12;8,494927;9,756092;3,023983;65,899895;46,290001
2016.09.13;8,215368;9,432327;2,981306;64,329613;44,900002
2016.09.14;8,12519;9,461109;2,985878;63,869091;43,580002
2016.09.15;8,224388;9,504277;3,004169;64,231461;43,91
2016.09.16;8,143226;9,288433;2,956919;63,438759;43,029999
2016.09.19;8,251441;9,429505;3,00112;63,287758;43,299999
2016.09.20;8,269478;9,258734;2,991975;62,313877;43,439999
2016.09.21;8,377693;9,288434;2,979782;62,887619;45,34
2016.09.22;8,494927;9,392382;3,075805;63,068829;46,32
2016.09.23;8,39573;9,355257;3,027032;63,000874;44,48
2016.09.26;8,314568;9,184485;2,988927;62,70644;45,93
2016.09.27;8,377693;9,139936;2,9935;62,84235;44,669998
2016.09.28;8,431801;9,169637;3,014838;65,605484;47,049999
2016.09.29;8,377693;9,592851;3,028556;65,273285;47,830002
2016.09.30;8,260459;9,518602;3,023983;65,892357;48,240002
2016.10.03;8,269478;9,570576;2,979782;65,718697;48,810001
2016.10.04;8,17028;9,629973;2,98283;65,114746;48,689999
2016.10.05;8,350638;9,852719;2,934056;65,680962;49,830002
2016.10.06;8,287515;9,852719;2,91729;65,711159;50,439999
2016.10.07;8,17028;9,867569;2,874613;65,484665;49,810001
2016.10.10;8,260459;10,097736;2,918814;66,768097;49,810001
2016.10.11;8,071081;9,904693;2,891379;66,239609;50,790001
2016.10.12;8,071081;9,837869;2,85175;65,779099;50,18
2016.10.13;8,116172;9,771046;2,868516;65,348778;50,439999
2016.10.14;8,17028;9,964091;2,923387;65,333672;50,349998
2016.10.17;8,17028;9,882419;2,911194;65,333672;49,939999
2016.10.18;8,233406;10,060614;2,979782;65,507332;50,290001
2016.10.19;8,296531;10,090313;2,988927;65,809303;51,599998
2016.10.20;8,242423;10,194258;3,013314;65,8395;50,43
2016.10.21;8,134208;10,22396;3,002645;65,394066;50,849998
2016.10.24;8,161262;10,194258;2,98283;65,613037;50,52
2016.10.25;8,089119;10,157136;2,978257;65,469574;49,959999
2016.10.26;8,089119;10,053188;3,007217;65,748894;49,18
2016.10.27;8,016975;10,209108;3,005693;65,620567;49,720001
2016.10.28;7,944831;10,030914;3,004169;64,004967;48,700001
2016.10.31;7,98992;9,80817;2,987403;62,902733;46,860001
2016.11.01;7,809561;9,652249;2,987403;63,151863;46,669998
2016.11.02;7,710363;9,511176;2,931007;63,000874;45,34
2016.11.03;7,566076;9,436929;2,921863;63,159428;44,66
2016.11.04;7,539021;9,347832;2,909669;63,091469;44,07
2016.11.07;7,773488;9,481479;2,926435;64,51078;44,889999
2016.11.08;7,800541;9,540877;2,947774;64,975388;44,98
2016.11.09;7,412769;9,503753;2,877661;65,691322;45,27
2016.11.10;7,214375;9,466629;2,778589;66,300636;44,66
2016.11.11;7,169284;9,318132;2,774017;65,249573;44,66
2016.11.14;7,088124;9,102812;2,74963;64,95253;43,32
2016.11.15;7,196338;9,281008;2,781638;66,12545;45,810001
2016.11.16;7,097141;9,22161;2,783162;65,310501;45,57
2016.11.17;7,142231;9,355257;2,822791;64,914452;45,419998
2016.11.18;7,115177;9,191913;2,755726;64,95253;45,689999
2016.11.21;7,106159;9,332982;2,780113;65,874115;47,490002
2016.11.22;7,169284;9,429505;2,866992;66,018822;48,029999
2016.11.23;7,205356;9,429505;2,853274;66,201614;47,959999
2016.11.25;7,232411;9,481479;2,847178;66,353943;46,060001
2016.11.28;7,340626;9,340406;2,822791;65,858894;47,080002
2016.11.29;7,232411;9,399804;2,88833;65,424751;45,23
2016.11.30;7,250446;9,756196;2,906621;66,491035;49,439999
2016.12.01;7,18732;10,105164;2,885282;66,445343;51,060001
2016.12.02;7,160267;10,053188;2,918814;66,293007;51,68
2016.12.05;7,232411;10,16456;2,853274;66,628159;51,790001
2016.12.06;7,232411;10,365031;2,995023;66,689064;50,93
2016.12.07;7,367681;10,468978;3,007217;67,077515;49,77
2016.12.08;7,32259;10,565499;3,016362;67,267937;50,84
2016.12.09;7,286518;10,580349;3,022459;67,785851;51,5
2016.12.12;7,223392;10,973864;3,057515;69,293884;52,830002
2016.12.13;7,331608;11,085237;3,115434;70,51252;52,98
2016.12.14;7,133212;11,048114;3,078854;68,989227;51,040001
2016.12.15;7,106159;11,114935;3,107813;69,225334;50,900002
2016.12.16;7,097141;11,174335;3,065135;69,446213;51,900002
2016.12.19;7,214375;11,107512;3,091048;68,867371;52,119999
2016.12.20;7,160267;11,248583;3,139821;68,874969;52,23
2016.12.21;7,142231;11,263431;3,115434;68,760735;52,490002
2016.12.22;7,220314;11,263431;3,104765;69,210114;52,950001
2016.12.23;7,137638;11,389654;3,139821;69,088234;53,02
2016.12.27;7,211128;11,389654;3,171829;69,118713;53,900002
2016.12.28;7,192755;11,36738;3,152015;68,77597;54,060001
2016.12.29;7,266243;11,463902;3,168781;68,814041;53,77
2016.12.30;7,238686;11,486176;3,191644;68,745506;53,720001
2017.01.03;7,321361;11,604975;3,176401;69,225334;52,330002
2017.01.04;7,449966;11,649522;3,180974;68,463684;53,259998
2017.01.05;7,495897;11,612397;3,185546;67,443085;53,759998
2017.01.06;7,459153;11,671797;3,171829;67,405006;53,990002
2017.01.09;7,486711;11,426777;3,164208;66,293007;51,959999
2017.01.10;7,495897;11,545574;3,141346;65,447609;50,82
2017.01.11;7,578572;11,53815;3,152015;66,117851;52,25
2017.01.12;7,606131;11,478752;3,148966;65,759857;53,009998
2017.01.13;7,587759;11,634671;3,173353;65,767487;52,369999
2017.01.17;7,670435;11,486176;3,158111;66,536758;52,48
2017.01.18;7,624503;11,560424;3,16116;65,714172;51,080002
2017.01.19;7,587759;11,515876;3,147442;64,533646;51,369999
2017.01.20;7,615317;11,545574;3,155063;65,417137;52,419998
2017.01.23;7,615317;11,36738;3,18155;64,716415;52,75
2017.01.24;7,652061;11,397079;3,175318;64,807831;53,18
2017.01.25;7,70718;11,248583;3,12546;64,99823;52,75
2017.01.26;7,642874;11,100087;3,102089;65,196266;53,779999
2017.01.27;7,642874;10,96644;3,064696;65,127724;53,169998
2017.01.30;7,5602;10,684298;2,999257;64,632652;52,630001
2017.01.31;7,578572;10,550651;3,010164;63,893856;52,810001
2017.02.01;7,679621;10,491252;3,011722;63,1703;53,880001
2017.02.02;7,670435;10,513526;3,027302;63,558727;53,540001
2017.02.03;7,743924;10,788243;3,050673;63,627281;53,830002
2017.02.06;7,652061;10,565499;2,991467;63,452114;53,009998
2017.02.07;7,624503;10,543226;3,017954;63,040825;52,169998
2017.02.08;7,679621;10,498677;3,102089;62,625786;52,34
2017.02.09;7,716364;10,662023;3,145715;62,9025;53
2017.02.10;7,817414;10,691721;3,153505;63,425129;53,860001
2017.02.13;7,890903;10,795671;3,14104;63,794079;52,93
2017.02.14;7,946018;10,795671;3,131692;63,655712;53,200001
2017.02.15;7,99195;10,676873;3,083392;63,91703;53,110001
2017.02.16;8,010323;10,691721;3,130134;63,256035;53,360001
2017.02.17;8,019507;10,483827;3,147273;62,841;53,400002
2017.02.21;8,11137;10,825369;3,123902;62,94091;54,060001
2017.02.22;8,047067;10,662023;3,083392;62,203049;53,59
2017.02.23;8,019507;10,699145;3,095857;62,856346;54,450001
2017.02.24;7,946018;10,617473;3,116112;62,318333;53,990002
2017.02.27;7,955205;10,662023;3,162853;62,671883;54,049999
2017.02.28;7,909275;10,780819;3,156621;62,502808;54,009998
2017.03.01;7,99195;11,137211;3,187782;63,809414;53,830002
2017.03.02;7,927646;11,144634;3,214269;64,024628;52,610001
2017.03.03;7,964391;11,337679;3,218944;63,379002;53,330002
2017.03.06;7,90009;11,204034;3,214269;63,663403;53,200001
2017.03.07;7,91846;11,174335;3,225175;63,425129;53,139999
2017.03.08;7,890903;10,988714;3,248547;62,279915;50,279999
2017.03.09;7,826599;10,914464;3,262569;62,771809;49,279999
2017.03.10;7,84497;10,862493;3,256336;62,7257;48,490002
2017.03.13;7,909275;10,877341;3,257894;62,579674;48,400002
2017.03.14;7,863345;10,743696;3,248547;62,249165;47,720001
2017.03.15;7,973577;10,892192;3,239198;63,025463;48,860001
2017.03.16;8,028693;11,144634;3,310868;63,07925;48,75
2017.03.17;8,001136;11,077811;3,279707;63,025463;48,779999
2017.03.20;7,973577;11,025839;3,264127;63,025463;48,220001
2017.03.21;7,817414;11,077811;3,287497;62,894787;47,34
2017.03.22;7,789854;11,055537;3,310868;62,841;48,040001
2017.03.23;7,789854;11,159484;3,351377;62,917831;47,700001
2017.03.24;7,808227;11,129786;3,340472;62,43364;47,970001
2017.03.27;7,789854;11,114935;3,35761;62,448997;47,73
2017.03.28;7,854157;11,174335;3,380981;62,9025;48,369999
2017.03.29;7,881716;11,226308;3,39033;63,040833;49,509998
2017.03.30;7,808227;11,374804;3,402794;64,332077;50,349998
2017.03.31;7,863345;11,397079;3,438629;63,033154;50,599998
2017.04.03;7,854157;11,226308;3,437072;63,07925;50,240002
2017.04.04;7,890903;11,307981;3,430838;63,309845;51,029999
2017.04.05;7,808227;11,248583;3,415258;63,432804;51,150002
2017.04.06;7,808227;11,263431;3,427723;63,801746;51,700001
2017.04.07;7,808227;11,307981;3,427723;63,609585;52,240002
2017.04.10;7,863345;11,300556;3,391887;63,893978;53,080002
2017.04.11;7,854157;11,315406;3,412142;63,671078;53,400002
2017.04.12;7,835785;11,315406;3,410584;63,771019;53,110001
2017.04.13;7,771482;11,129786;3,371633;62,787189;53,18
2017.04.17;7,881716;11,129786;3,371633;62,702652;52,650002
2017.04.18;7,808227;10,899616;3,304636;62,295284;52,41
2017.04.19;7,762296;10,907042;3,34982;61,864849;50,439999
2017.04.20;7,780667;10,899616;3,304636;62,264545;50,27
2017.04.21;7,743924;10,780819;3,264127;62,018597;49,619999
2017.04.24;7,835785;11,101497;3,468232;62,341381;49,23
2017.04.25;7,863345;11,055685;3,451093;62,817932;49,560001
2017.04.26;7,826599;11,101497;3,433955;62,564293;49,619999
2017.04.27;7,789854;10,933521;3,426165;62,456696;48,970001
2017.04.28;7,789854;10,895347;3,399678;62,756447;49,330002
2017.05.01;7,854157;10,895347;3,399678;63,071564;48,84
2017.05.02;7,946018;10,918252;3,446419;63,063892;47,66
2017.05.03;7,91846;10,87244;3,45421;63,563473;47,82
2017.05.04;7,890903;10,864805;3,532112;62,748768;45,52
2017.05.05;8,028693;11,13967;3,56639;63,040833;46,220001
2017.05.08;7,890903;11,13967;3,558599;63,709515;46,43
2017.05.09;7,982763;11,254199;3,544577;63,263718;45,880001
2017.05.10;7,99195;11,315278;3,560158;63,550789;47,330002
2017.05.11;7,91846;11,37636;3,553925;64,093903;47,830002
2017.05.12;7,964391;11,368727;3,557042;64,047356;47,84
2017.05.15;8,056254;11,452713;3,561716;64,241325;48,849998
2017.05.16;8,019507;11,490889;3,647408;64,047356;48,66
2017.05.17;7,927646;11,315278;3,605341;63,612854;49,07
2017.05.18;7,771482;11,345819;3,613132;63,426655;49,349998
2017.05.19;7,890903;11,483253;3,648967;63,566326;50,330002
2017.05.22;7,881716;11,467982;3,684802;63,845615;50,73
2017.05.23;7,955205;11,445076;3,728427;64,070618;51,470001
2017.05.24;7,973577;11,399266;3,692592;63,845615;51,360001
2017.05.25;8,028693;11,185481;3,715963;63,426655;48,900002
2017.05.26;8,019507;10,925887;3,745566;63,271488;49,799999
2017.05.30;8,010323;10,933521;3,683244;62,92234;49,66
2017.05.31;7,982763;10,757915;3,706614;62,456814;48,32
2017.06.01;8,001136;10,887712;3,725311;62,611988;48,360001
2017.06.02;8,001136;10,727373;3,684802;61,680969;47,66
2017.06.05;8,001136;10,658658;3,672338;62,161999;47,400002
2017.06.06;7,99195;10,742643;3,723753;63,007698;48,189999
2017.06.07;7,936832;10,52886;3,736218;62,774925;45,720001
2017.06.08;7,955205;10,605211;3,849955;62,549927;45,639999
2017.06.09;7,881716;10,612844;3,815678;63,721474;45,830002
2017.06.12;7,881716;10,658658;3,773611;64,342178;46,080002
2017.06.13;7,881716;10,689198;3,778285;64,365456;46,459999
2017.06.14;7,881716;10,574671;3,781401;63,674923;44,73
2017.06.15;7,808227;10,51359;3,789191;63,822338;44,459999
2017.06.16;7,854157;10,574671;3,832817;64,776649;44,740002
2017.06.19;7,881716;10,620481;3,842165;64,210266;44,200001
2017.06.20;7,763074;10,406696;3,811005;63,86113;43,23
2017.06.21;7,809782;10,460142;3,879559;63,186142;42,529999
2017.06.22;7,89386;10,429602;3,837492;62,906818;42,740002
2017.06.23;7,931225;10,368521;3,815678;63,318035;43,009998
2017.06.26;7,996621;10,383792;3,856188;63,030968;43,380001
2017.06.27;7,968595;10,322712;3,739334;62,930084;44,240002
2017.06.28;8,071355;10,353251;3,770495;63,255959;44,740002
2017.06.29;7,931225;10,154738;3,69415;62,611988;44,93
2017.06.30;7,996621;10,047846;3,656757;62,635284;46,040001
2017.07.03;8,033988;10,170007;3,708173;63,698212;47,07
2017.07.05;7,959254;10,055482;3,653641;62,728374;45,130001
2017.07.06;7,987279;9,994399;3,661431;62,161999;45,52
2017.07.07;8,005963;9,895144;3,677012;62,239601;44,23
2017.07.10;8,015306;9,925685;3,737775;62,193027;44,400002
2017.07.11;7,987279;9,902778;3,731544;62,534412;45,040001
2017.07.12;8,108724;10,07075;3,795424;62,813728;45,490002
2017.07.13;8,090038;10,086022;3,873327;62,821491;46,080002
2017.07.14;8,220825;10,108928;3,871769;63,062004;46,540001
2017.07.17;8,211483;10,086022;3,834375;62,736145;46,02
2017.07.18;8,286219;10,032575;3,863978;62,534412;46,400002
2017.07.19;8,398321;10,02494;3,868652;62,728374;47,119999
2017.07.20;8,407663;10,040211;3,832817;62,736145;46,790001
2017.07.21;8,398321;9,956224;3,825026;62,161999;45,77
2017.07.24;8,388978;9,971495;3,85677;61,968029;46,34
2017.07.25;8,398321;10,07075;3,807568;62,27837;47,889999
2017.07.26;8,510422;10,124197;3,855182;62,355984;48,75
2017.07.27;8,314244;10,093657;3,880577;62,712852;49,040001
2017.07.28;8,417006;10,124197;3,820265;61,758553;49,709999
2017.07.31;8,435687;10,208183;3,828202;62,099926;50,169998
2017.08.01;8,445028;10,284535;3,87899;62,20079;49,16
2017.08.02;8,417006;10,330345;3,872642;62,534412;49,59
2017.08.03;8,45437;10,307441;3,920255;62,449051;49,029999
2017.08.04;8,501081;10,345616;3,955172;62,231827;49,580002
2017.08.07;8,585157;10,360887;3,953586;62,193027;49,389999
2017.08.08;8,547789;10,337982;3,975805;62,037857;49,169998
2017.08.09;8,473054;10,307441;3,947237;62,231827;49,560001
2017.08.10;8,360951;10,299805;3,907558;61,863632;48,59
2017.08.11;8,370294;10,154738;3,87899;61,268257;48,82
2017.08.14;8,445028;10,192913;3,991678;61,283936;47,59
2017.08.15;8,463713;10,192913;3,991678;61,135098;47,549999
2017.08.16;8,519764;10,238724;4,019453;60,688564;46,779999
2017.08.17;8,323585;10,108928;3,991678;59,740677;47,09
2017.08.18;8,435687;10,116562;4,019453;60,038361;48,509998
2017.08.21;8,342269;10,07075;4,02342;59,834682;47,369999
2017.08.22;8,360951;10,032575;3,999613;60,116707;47,639999
2017.08.23;8,426346;10,040211;3,951999;60,014862;48,41
2017.08.24;8,426346;10,032575;4,031356;59,795513;47,43
2017.08.25;8,45437;10,00967;4,04326;60,101044;47,869999
2017.08.28;8,473054;10,02494;4,031356;59,905182;46,57
2017.08.29;8,473054;10,00967;3,991678;59,889515;46,439999
2017.08.30;8,510422;10,032575;4,035325;59,61533;45,959999
2017.08.31;8,529105;10,055482;4,035325;59,795513;47,23
2017.09.01;8,557133;10,162373;4,07897;59,983521;47,290001
2017.09.05;8,463713;10,223454;4,05913;60,46138;48,66
2017.09.06;8,538447;10,29217;4,082938;61,714783;49,16
2017.09.07;8,529105;10,345616;4,118649;61,910641;49,09
2017.09.08;8,501081;10,276901;4,106745;61,74612;47,48
2017.09.11;8,557133;10,315076;4,162295;62,082981;48,07
2017.09.12;8,594499;10,345616;4,122617;62,278824;48,23
2017.09.13;8,529105;10,353251;4,094842;62,490349;49,299999
2017.09.14;8,659892;10,414332;4,07897;62,741028;49,889999
2017.09.15;8,631866;10,544129;4,051195;62,725365;49,889999
2017.09.18;8,566473;10,583445;4,086906;62,741028;49,91
2017.09.19;8,613182;10,638483;4,07897;62,842873;49,48
2017.09.20;8,575817;10,724977;4,063099;63,101387;50,41
2017.09.21;8,547789;10,803605;4,067067;62,584358;50,549999
2017.09.22;8,566473;10,835056;4,047228;62,607841;50,66
2017.09.25;8,379637;10,960862;4,04326;63,438244;52,220001
2017.09.26;8,370294;11,000177;4,04326;63,367722;51,880001
2017.09.27;8,417006;10,953;4,055163;63,79076;52,139999
2017.09.28;8,379637;10,968725;3,999613;64,386139;51,560001
2017.09.29;8,388978;11,008039;4,04326;64,221619;51,669998
2017.10.02;8,435687;10,984452;4,055163;63,947437;50,580002
2017.10.03;8,519764;11,06308;4,007549;64,049271;50,419998
2017.10.04;8,501081;10,929411;3,940889;64,072784;49,98
2017.10.05;8,501081;11,031629;4,003582;64,25296;50,790001
2017.10.06;8,501081;10,890097;3,955172;64,010094;49,290001
2017.10.09;8,463713;10,890097;4,027388;64,26078;49,580002
2017.10.10;8,547789;10,890097;4,051195;64,440971;50,919998
2017.10.11;8,566473;10,945138;4,122617;64,707321;51,299999
2017.10.12;8,594499;10,89796;4,09881;64,574135;50,599998
2017.10.13;8,631866;10,984452;4,102777;64,558472;51,450001
2017.10.16;8,547789;11,000177;4,086906;64,871819;51,869999
2017.10.17;8,641208;10,921549;4,114681;64,989334;51,880001
2017.10.18;8,631866;10,913686;4,102777;64,832649;52,040001
2017.10.19;8,557133;10,827194;4,090874;64,816978;51,290001
2017.10.20;8,538447;10,890097;4,110713;65,106842;51,470001
2017.10.23;8,557133;10,874371;4,142456;65,208672;51,900002
2017.10.24;8,538447;10,968725;4,122617;65,388847;52,470001
2017.10.25;8,557133;10,850781;4,063099;65,153831;52,18
2017.10.26;8,557133;10,945138;4,198006;65,388847;52,639999
2017.10.27;8,69726;10,835056;4,194038;65,576874;53,900002
2017.10.30;8,69726;10,882234;4,221815;65,443703;54,150002
2017.10.31;8,69726;11,039492;4,225781;65,294853;54,380001
2017.11.01;8,687918;11,181024;4,273396;65,702217;54,299999
2017.11.02;8,715943;11,243927;4,257524;65,43586;54,540001
2017.11.03;8,641208;11,306829;4,26546;65,161659;55,639999
2017.11.06;8,715943;11,401185;4,277363;65,6082;57,349998
2017.11.07;8,557133;11,574167;4,281332;65,475037;57,200001
2017.11.08;8,669233;11,495538;4,253557;65,388847;56,810001
2017.11.09;8,519764;11,409048;4,233718;65,780548;57,169998
2017.11.10;8,45437;11,330419;4,186104;65,574982;56,740002
2017.11.13;8,473054;11,25179;4,170231;65,535431;56,759998
2017.11.14;8,463713;11,11812;4,186104;65,02153;55,700001
2017.11.15;8,388978;10,913686;4,178167;64,207184;55,330002
2017.11.16;8,473054;10,803605;4,201975;63,693268;55,139999
2017.11.17;8,388978;10,795741;4,138489;63,440273;56,549999
2017.11.20;8,379637;10,81933;4,146424;63,685375;56,09
2017.11.21;8,379637;10,905822;4,253557;63,938377;56,830002
2017.11.22;8,417006;10,937274;4,213879;64,120201;58,02
2017.11.24;8,435687;10,866509;4,249589;64,37323;58,950001
2017.11.27;8,332926;10,76429;4,225781;64,128113;58,110001
2017.11.28;8,45437;10,835056;4,289267;64,570877;57,990002
2017.11.29;8,351609;10,81933;4,344818;65,04525;57,299999
2017.11.30;8,323585;10,858646;4,328947;65,851707;57,400002
2017.12.01;8,258192;10,866509;4,261492;65,986107;58,360001
2017.12.04;8,090038;10,921549;4,340849;66,073074;57,470001
2017.12.05;8,127407;10,929411;4,384497;65,535431;57,619999
2017.12.06;8,127407;10,866509;4,384497;65,053154;55,959999
2017.12.07;8,211483;10,882234;4,404336;65,266632;56,689999
2017.12.08;8,342269;10,929411;4,428143;65,353607;57,360001
2017.12.11;8,332926;10,984452;4,372594;65,646111;57,990002
2017.12.12;8,323585;11,11812;4,372594;65,432678;57,139999
2017.12.13;8,388978;11,023767;4,305139;65,7173;56,599998
2017.12.14;8,407663;10,968725;4,233718;65,543365;57,040001
2017.12.15;8,45437;10,960862;4,249589;65,646111;57,299999
2017.12.18;8,529105;11,055219;4,332914;65,574982;57,16
2017.12.19;8,45437;10,992315;4,217846;65,179665;57,459999
2017.12.20;8,510422;10,937274;4,186104;65,519638;58,09
2017.12.21;8,613254;11,023767;4,198006;66,294441;58,360001
2017.12.22;8,622687;11,023767;4,194038;66,389343;58,470001
2017.12.26;8,632121;11,023767;4,194038;66,397255;59,970001
2017.12.27;8,707592;11,06308;4,158328;66,333984;59,639999
2017.12.28;8,754764;10,976589;4,118649;66,428856;59,84
2017.12.29;8,7925;10,850781;4,071034;66,12841;60,419998
2018.01.02;8,924577;10,874371;4,051195;67,227409;60,369999
